ChEMBL_ID,UniProt_Accession
CHEMBL1983268,P15056
CHEMBL1983268,Q9UGJ0
CHEMBL1983268,P12236
CHEMBL1983268,Q7L2E3
CHEMBL1983268,Q9NSE4
CHEMBL1983268,Q96S44
CHEMBL1983268,Q9H2K8
CHEMBL1983268,P09619
CHEMBL1983268,Q14683
CHEMBL1983268,P25098
CHEMBL1983268,O95819
CHEMBL1983268,P22830
CHEMBL1983268,P05129
CHEMBL1983268,P24941
CHEMBL1983268,P53779
CHEMBL1983268,P51817
CHEMBL1983268,Q9NU22
CHEMBL1983268,Q9P2R7
CHEMBL1983268,Q06418
CHEMBL1983268,Q9NZJ5
CHEMBL1983268,Q9HAZ1
CHEMBL1983268,Q6ZSR9
CHEMBL1983268,P33981
CHEMBL1983268,Q9P289
CHEMBL1983268,O14757
CHEMBL1983268,Q7RTN6
CHEMBL1983268,Q04912
CHEMBL1983268,Q15418
CHEMBL1983268,P52333
CHEMBL1983268,P31689
CHEMBL1983268,O75582
CHEMBL1983268,Q32MK0
CHEMBL1983268,P78368
CHEMBL1983268,P49759
CHEMBL1983268,Q14164
CHEMBL1983268,Q12851
CHEMBL1983268,Q92499
CHEMBL1983268,P12931
CHEMBL1983268,P48426
CHEMBL1983268,P05141
CHEMBL1983268,O00418
CHEMBL1983268,Q8TD19
CHEMBL1983268,P37173
CHEMBL1983268,Q9Y4K4
CHEMBL1983268,Q3MIX3
CHEMBL1983268,P16234
CHEMBL1983268,O14920
CHEMBL1983268,Q8NE63
CHEMBL1983268,P36896
CHEMBL1983268,Q9UHD2
CHEMBL1983268,P49674
CHEMBL1983268,P29323
CHEMBL1983268,P06241
CHEMBL1983268,Q9UBE8
CHEMBL1983268,P29376
CHEMBL1983268,Q13464
CHEMBL1983268,Q86XP3
CHEMBL1983268,P49760
CHEMBL1983268,P49137
CHEMBL1983268,O75643
CHEMBL1983268,P27361
CHEMBL1983268,O75116
CHEMBL1983268,Q14839
CHEMBL1983268,P17948
CHEMBL1983268,Q9NYV4
CHEMBL1983268,Q96S53
CHEMBL1983268,Q14680
CHEMBL1983268,P22392
CHEMBL1983268,Q13131
CHEMBL1983268,O00444
CHEMBL1983268,P54753
CHEMBL1983268,O00264
CHEMBL1983268,Q709F0
CHEMBL1983268,P26196
CHEMBL1983268,Q9Y6R4
CHEMBL1983268,Q9Y6E0
CHEMBL1983268,Q16584
CHEMBL1983268,Q8TDX7
CHEMBL1983268,O14965
CHEMBL1983268,Q7KZI7
CHEMBL1983268,Q9Y5S2
CHEMBL1983268,P48730
CHEMBL1983268,Q96GD4
CHEMBL1983268,P29597
CHEMBL1983268,P22234
CHEMBL1983268,P43405
CHEMBL1983268,P55263
CHEMBL1983268,P06737
CHEMBL1983268,O95347
CHEMBL1983268,O95835
CHEMBL1983268,O00238
CHEMBL1983268,O75716
CHEMBL1983268,O60674
CHEMBL1983268,Q8NI60
CHEMBL1983268,P54577
CHEMBL1983268,P30519
CHEMBL1983268,P17612
CHEMBL1983268,Q9ULC5
CHEMBL1983268,O95382
CHEMBL1983268,O43683
CHEMBL1983268,P51159
CHEMBL1983268,P10398
CHEMBL1983268,P22612
CHEMBL1983268,P42285
CHEMBL1983268,P35580
CHEMBL1983268,P18074
CHEMBL1983268,P62826
CHEMBL1983268,Q04771
CHEMBL1983268,Q02750
CHEMBL1983268,P61160
CHEMBL1983268,Q6DT37
CHEMBL1983268,P11362
CHEMBL1983268,P41743
CHEMBL1983268,O96013
CHEMBL1983268,P36897
CHEMBL1983268,Q9Y2W1
CHEMBL1983268,P19784
CHEMBL1983268,Q9HC98
CHEMBL1983268,P50750
CHEMBL1983268,P51955
CHEMBL1983268,P28482
CHEMBL1983268,P43686
CHEMBL1983268,P07332
CHEMBL1983268,Q8TD08
CHEMBL1983268,P20340
CHEMBL1983268,P43403
CHEMBL1983268,P42680
CHEMBL1983268,P68400
CHEMBL1983268,P11802
CHEMBL1983268,O43293
CHEMBL1983268,P07949
CHEMBL1983268,Q9Y616
CHEMBL1983268,P51617
CHEMBL1983268,P22694
CHEMBL1983268,Q9UPZ9
CHEMBL1983268,Q13177
CHEMBL1983268,Q02880
CHEMBL1983268,Q13882
CHEMBL1983268,P61158
CHEMBL1983268,Q15831
CHEMBL1983268,Q9Y6M4
CHEMBL1983268,P12268
CHEMBL1983268,Q9UKE5
CHEMBL1983268,P05771
CHEMBL1983268,P41250
CHEMBL1983268,Q9H2G2
CHEMBL1983268,O00764
CHEMBL1983268,O75460
CHEMBL1983268,P08922
CHEMBL1983268,Q13976
CHEMBL1983268,Q16620
CHEMBL1983268,O94804
CHEMBL1983268,P42685
CHEMBL1983268,Q14289
CHEMBL1983268,Q9UM73
CHEMBL1983268,P06748
CHEMBL1983268,Q99640
CHEMBL1983268,Q14004
CHEMBL1983268,Q6PHR2
CHEMBL1983268,P41240
CHEMBL1983268,Q13418
CHEMBL1983268,Q00535
CHEMBL1983268,P49748
CHEMBL1983268,Q76MJ5
CHEMBL1983268,Q13188
CHEMBL1983268,P49336
CHEMBL1983268,Q13627
CHEMBL1983268,Q13233
CHEMBL1983268,P54756
CHEMBL1983268,Q9NWZ3
CHEMBL1983268,Q9P1W9
CHEMBL1983268,Q9BZL6
CHEMBL1983268,Q07912
CHEMBL1983268,P30291
CHEMBL1983268,O60313
CHEMBL1983268,Q15067
CHEMBL1983268,P29317
CHEMBL1983268,P16591
CHEMBL1983268,Q13470
CHEMBL1983268,Q58FF8
CHEMBL1983268,P33991
CHEMBL1983268,P53350
CHEMBL1983268,P42684
CHEMBL1983268,Q15375
CHEMBL1983268,Q5S007
CHEMBL1983268,P00519
CHEMBL1983268,P45984
CHEMBL1983268,Q13557
CHEMBL1983268,Q16566
CHEMBL1983268,P07333
CHEMBL1983268,Q15392
CHEMBL1983268,Q13163
CHEMBL1983268,P10721
CHEMBL1983268,O60361
CHEMBL1983268,P11216
CHEMBL1983268,P08240
CHEMBL1983268,P30530
CHEMBL1983268,O00571
CHEMBL1983268,O14578
CHEMBL1983268,P54619
CHEMBL1983268,P31751
CHEMBL1983268,Q16512
CHEMBL1983268,P06239
CHEMBL1983268,Q99759
